"property","object"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Thing"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.wikidata.org/entity/Q1107"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.wikidata.org/entity/Q386724"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.wikidata.org/entity/Q627603"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Anime"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Cartoon"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Film"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Work"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/CreativeWork"
"http://www.w3.org/2000/01/rdf-schema#label","Fullmetal Alchemist: Brotherhood"
"http://www.w3.org/2000/01/rdf-schema#label","鋼の錬金術師 FULLMETAL ALCHEMIST"
"http://www.w3.org/2000/01/rdf-schema#label","Fullmetal Alchemist: Brotherhood"
"http://www.w3.org/2000/01/rdf-schema#label","鋼之鍊金術師 FULLMETAL ALCHEMIST"
"http://www.w3.org/2000/01/rdf-schema#label","Fullmetal Alchemist: Brotherhood"
"http://www.w3.org/2000/01/rdf-schema#comment","『鋼の錬金術師 FULLMETAL ALCHEMIST』（はがねのれんきんじゅつし フルメタル アルケミスト）は、ボンズ制作の日本のアニメ。テレビシリーズアニメとして2009年4月5日から2010年7月4日までMBS・TBS系列 (JNN) ほかにおいて放送された。"
"http://www.w3.org/2000/01/rdf-schema#comment","《鋼之鍊金術師 FULLMETAL ALCHEMIST》，為漫畫《鋼之鍊金術師》二度動畫化作品，和前作動畫「鋼之鍊金術師」一樣由BONES製作，於2009年4月5日起播出。原預定在2010年6月與原作漫畫一起完結，但後來變更延至7月4日，全64話。 2015年，在加拿大影音商業網WatchMojo.com的十大最佳動畫片尾曲（Top 10 Anime Ending Themes）榜單中，本作的「謊言」（嘘）名列第四。"
"http://www.w3.org/2000/01/rdf-schema#comment","Fullmetal Alchemist: Brotherhood (鋼の錬金術師 FULLMETAL ALCHEMIST, Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST) est la deuxième adaptation animée du manga Fullmetal Alchemist d'Hiromu Arakawa. Elle est produite par le studio Bones et est diffusée du 5 avril 2009 au 4 juillet 2010 au Japon sur MBS et en simulcast dans les pays francophones, une semaine après la diffusion japonaise, par Dybex. Cette nouvelle série, annoncée à la fin de l'édition japonaise du tome 20, se veut plus fidèle à l'histoire et à l'esprit du manga que ne l'avait été la première adaptation (qui n'avait respecté que les 4 premiers tomes). La série adapte ainsi le manga dans son intégralité."
"http://www.w3.org/2000/01/rdf-schema#comment","Fullmetal Alchemist: Brotherhood (Japanese: 鋼の錬金術師 Hepburn: Hagane no Renkinjutsushi) is an anime series adapted from the Fullmetal Alchemist manga by Hiromu Arakawa. Produced by Bones, the series is directed by Yasuhiro Irie and written by Hiroshi Ōnogi. Fullmetal Alchemist: Brotherhood is the second anime television series based on Fullmetal Alchemist, the first being 2003's Fullmetal Alchemist. Fullmetal Alchemist: Brotherhood is a 1:1 adaptation directly following the original events of the manga. It was first announced in the manga series' 20th tankōbon volume. In Japan, it is differentiated from the 2003 series by the inclusion of the English language title. The series premiered on April 5, 2009 on MBS-TBS' Sunday 5:00 PM JST anime time block, replacing Mobile Suit Gundam 00, and ran"
"http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/List_of_Fullmetal_Alchemist_characters"
"http://www.w3.org/2002/07/owl#sameAs","http://www.wikidata.org/entity/Q437808"
"http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Fullmetal_Alchemist:_Brotherhood"
"http://www.w3.org/2002/07/owl#sameAs","http://ja.dbpedia.org/resource/鋼の錬金術師_FULLMETAL_ALCHEMIST"
"http://www.w3.org/2002/07/owl#sameAs","http://ko.dbpedia.org/resource/강철의_연금술사:_브라더후드"
"http://www.w3.org/2002/07/owl#sameAs","http://wikidata.dbpedia.org/resource/Q437808"
"http://www.w3.org/2002/07/owl#sameAs","http://rdf.freebase.com/ns/m.0b4cxlh"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:2009_anime_television_series"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Alchemy_in_fiction"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Anime_series_based_on_manga"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Fullmetal_Alchemist"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Aniplex"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Mainichi_Broadcasting_System_shows"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Supernatural_anime_and_manga"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Tokyo_Broadcasting_System_shows"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Action_anime_and_manga"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Adventure_anime_and_manga"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Comedy-drama_anime_and_manga"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Funimation_Entertainment"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Odex"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Toonami"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Tragedy_anime_and_manga"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Science_fantasy_anime_and_manga"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:2010_Japanese_television_series_endings"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Tokyo_Metropolitan_Television_shows"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Bones_(studio)"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Steampunk_anime_and_manga"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Animax_shows"
"http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:2009_Japanese_television_series_debuts"
"http://dbpedia.org/ontology/wikiPageID",22819997
"http://dbpedia.org/ontology/wikiPageRevisionID",744866803
"http://dbpedia.org/ontology/wikiPageExternalLink","http://www.hagaren.jp/fa/index.html"
"http://dbpedia.org/ontology/wikiPageExternalLink","http://www.adultswim.com/shows/fullmetal/index.html"
"http://dbpedia.org/ontology/wikiPageExternalLink","http://fullmetalalchemist.com.au/"
"http://dbpedia.org/ontology/wikiPageExternalLink","http://www.animecentral.com/series/series.aspx?ID=4"
"http://xmlns.com/foaf/0.1/homepage","http://www.hagaren.jp/fa/index.html"
"http://dbpedia.org/property/name","Fullmetal Alchemist: Brotherhood"
"http://xmlns.com/foaf/0.1/isPrimaryTopicOf","http://en.wikipedia.org/wiki/Fullmetal_Alchemist:_Brotherhood"
"http://www.w3.org/ns/prov#wasDerivedFrom","http://en.wikipedia.org/wiki/Fullmetal_Alchemist:_Brotherhood?oldid=744866803"
"http://dbpedia.org/ontology/abstract","Fullmetal Alchemist: Brotherhood (鋼の錬金術師 FULLMETAL ALCHEMIST, Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST) est la deuxième adaptation animée du manga Fullmetal Alchemist d'Hiromu Arakawa. Elle est produite par le studio Bones et est diffusée du 5 avril 2009 au 4 juillet 2010 au Japon sur MBS et en simulcast dans les pays francophones, une semaine après la diffusion japonaise, par Dybex. Cette nouvelle série, annoncée à la fin de l'édition japonaise du tome 20, se veut plus fidèle à l'histoire et à l'esprit du manga que ne l'avait été la première adaptation (qui n'avait respecté que les 4 premiers tomes). La série adapte ainsi le manga dans son intégralité. En France, Virgin 17 a diffusé les 9 premiers épisodes entre le 19 octobre 2009 et le 21 décembre 2009. Puis, la série a été diffusée du 26 septembre 2010 à fin décembre 2010 sur MCM dans l'émission Ultra Manga présentée par Noémie Alazard. La série a ensuite été diffusée dans son intégralité du 4 juillet 2011 au 26 août 2011 sur la chaîne Direct Star. La série a été également disponible sur Netflix pendant un temps mais a disparu du catalogue."
"http://dbpedia.org/ontology/abstract","『鋼の錬金術師 FULLMETAL ALCHEMIST』（はがねのれんきんじゅつし フルメタル アルケミスト）は、ボンズ制作の日本のアニメ。テレビシリーズアニメとして2009年4月5日から2010年7月4日までMBS・TBS系列 (JNN) ほかにおいて放送された。"
"http://dbpedia.org/ontology/abstract","《鋼之鍊金術師 FULLMETAL ALCHEMIST》，為漫畫《鋼之鍊金術師》二度動畫化作品，和前作動畫「鋼之鍊金術師」一樣由BONES製作，於2009年4月5日起播出。原預定在2010年6月與原作漫畫一起完結，但後來變更延至7月4日，全64話。 2015年，在加拿大影音商業網WatchMojo.com的十大最佳動畫片尾曲（Top 10 Anime Ending Themes）榜單中，本作的「謊言」（嘘）名列第四。"
"http://dbpedia.org/ontology/abstract","Fullmetal Alchemist: Brotherhood (Japanese: 鋼の錬金術師 Hepburn: Hagane no Renkinjutsushi) is an anime series adapted from the Fullmetal Alchemist manga by Hiromu Arakawa. Produced by Bones, the series is directed by Yasuhiro Irie and written by Hiroshi Ōnogi. Fullmetal Alchemist: Brotherhood is the second anime television series based on Fullmetal Alchemist, the first being 2003's Fullmetal Alchemist. Fullmetal Alchemist: Brotherhood is a 1:1 adaptation directly following the original events of the manga. It was first announced in the manga series' 20th tankōbon volume. In Japan, it is differentiated from the 2003 series by the inclusion of the English language title. The series premiered on April 5, 2009 on MBS-TBS' Sunday 5:00 PM JST anime time block, replacing Mobile Suit Gundam 00, and ran weekly until airing its final episode on July 4, 2010. Voice actors Romi Park and Rie Kugimiya reprise their roles as main characters Edward and Alphonse Elric, respectively. On March 20, 2009, it was announced that the English title of the series was Fullmetal Alchemist: Brotherhood and that it would receive its English language premiere on Animax Asia, with Japanese audio and English subtitles, from April 10, 2009 at 8:30 p.m, five days after its Japanese premiere. On April 3, 2009, Funimation announced they would stream English subtitled episodes four days after they air in Japan. Madman Entertainment would also stream it ""within days"" of the episodes airing in Japan. On February 14, 2010, the English dubbed version of the series began its run on Adult Swim. On February 1, 2016, Funimation announced that they would be losing home video and streaming rights to both Fullmetal Alchemist: Brotherhood, and Fullmetal Alchemist the Movie: Conqueror of Shamballa, by March 31, 2016. The series was transferred to Aniplex of America."
"http://dbpedia.org/ontology/director","http://dbpedia.org/resource/Yasuhiro_Irie"
"http://dbpedia.org/ontology/musicComposer","http://dbpedia.org/resource/Akira_Senju"
"http://dbpedia.org/ontology/network","http://dbpedia.org/resource/Japan_News_Network"
"http://dbpedia.org/ontology/network","http://dbpedia.org/resource/Animax"
"http://dbpedia.org/ontology/network","http://dbpedia.org/resource/Tokyo_Broadcasting_System_Television"
"http://dbpedia.org/ontology/writer","http://dbpedia.org/resource/Hiroshi_Ōnogi"
"http://dbpedia.org/property/caption","Cover of the first Japanese DVD volume featuring protagonist Edward Elric"
"http://dbpedia.org/property/content","* The Sacred Star of Milos"
"http://dbpedia.org/property/episodeList","List of Fullmetal Alchemist: Brotherhood episodes#Episodes list"
"http://dbpedia.org/property/episodeList","List of Fullmetal Alchemist: Brotherhood episodes#OVAs"
"http://dbpedia.org/property/episodes",4
"http://dbpedia.org/property/episodes",64
"http://dbpedia.org/property/first",2009-04-05
"http://dbpedia.org/property/first",2009-08-26
"http://dbpedia.org/property/genre","http://dbpedia.org/resource/Adventure_(genre)"
"http://dbpedia.org/property/genre","http://dbpedia.org/resource/Science_fantasy"
"http://dbpedia.org/property/jaKanji","鋼の錬金術師 FULLMETAL ALCHEMIST"
"http://dbpedia.org/property/jaRomaji","Hagane no Renkinjutsushi"
"http://dbpedia.org/property/jaRomaji","FULLMETAL ALCHEMIST"
"http://dbpedia.org/property/last",2010-07-04
"http://dbpedia.org/property/last",2010-08-25
"http://dbpedia.org/property/producer","Hirō Maruyama"
"http://dbpedia.org/property/producer","Nobuyuki Kurashige"
"http://dbpedia.org/property/producer","Noritomo Yonai"
"http://dbpedia.org/property/producer","Ryo Ōyama"
"http://dbpedia.org/property/runtime","-1800.0"
"http://dbpedia.org/property/studio","http://dbpedia.org/resource/Bones_(studio)"
"http://dbpedia.org/property/title","Anime film"
"http://dbpedia.org/property/type","ova"
"http://dbpedia.org/property/type","tv series"
"http://dbpedia.org/property/writer","Hiroshi Oonogi"
"http://dbpedia.org/property/writer","Shoutarou Suga"
"http://purl.org/linguistics/gold/hypernym","http://dbpedia.org/resource/Adaptation"
